,State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,sex_ratio,literacy_rate
12,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,ANDHRA PRADESH,3488809,1759772,1729037,1160757,840262,3249231,188646,35025,937,241,250,14479,228818,789225,7715,53777,833504,197433,1030937,983.0,57.0
13,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,ANDHRA PRADESH,2551335,1250641,1300694,790214,599596,2123426,391596,19653,2357,1847,542,11914,186740,545913,5261,35036,565165,155133,720298,1040.0,54.0
14,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,ANDHRA PRADESH,3397448,1714764,1682684,1107686,796749,3150195,220654,18775,266,97,204,7257,290947,763746,6151,43611,873486,214089,1087575,981.0,56.0
15,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,ANDHRA PRADESH,2703114,1341738,1361376,857824,637557,2666950,9025,18879,193,77,160,7830,149554,615432,3988,32280,752752,149684,902436,1015.0,55.0
16,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,ANDHRA PRADESH,2344474,1161477,1182997,707503,530885,2299129,16423,17853,380,114,815,9760,140361,527736,4453,24128,592458,157056,749514,1019.0,53.0
17,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,ANDHRA PRADESH,3512576,1759281,1753295,1179790,885233,3273755,197333,31377,1453,253,569,7836,237349,828077,12952,59006,758738,288249,1046987,997.0,59.0
18,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,ANDHRA PRADESH,3936966,1964918,1972048,1379223,1273166,3733191,86142,109120,288,209,1578,6438,435334,1017568,12050,55613,1007255,248373,1255628,1004.0,67.0
19,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,ARUNACHAL PRADESH,148226,76948,71278,44027,29147,47683,2134,35969,94,50381,95,11870,4762,14593,170,1486,33422,6498,39920,926.0,49.0
20,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,ARUNACHAL PRADESH,78690,38775,39915,21599,16850,12333,652,37136,36,452,23,28058,3583,5318,57,885,14503,5215,19718,1029.0,49.0
21,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,ARUNACHAL PRADESH,99214,50116,49098,34210,28366,27854,2289,18254,69,776,30,49942,4866,14231,450,1582,19497,9524,29021,980.0,63.0
22,Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,ARUNACHAL PRADESH,92076,45318,46758,20258,16348,4859,471,51189,43,121,81,35312,586,3911,95,969,18603,1092,19695,1032.0,40.0
23,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,ARUNACHAL PRADESH,145726,76221,69505,48380,34682,99020,3846,10684,210,24452,104,7410,6549,17157,312,1471,33599,11372,44971,912.0,57.0
24,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,ARUNACHAL PRADESH,54080,28053,26027,18087,13762,28915,2247,9213,33,2932,19,10721,3068,5932,207,742,12000,3950,15950,928.0,59.0
25,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,ARUNACHAL PRADESH,83030,41843,41187,29470,24587,9551,1482,34402,27,193,13,37362,4211,12493,381,1598,18112,5365,23477,984.0,65.0
26,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,ARUNACHAL PRADESH,176573,89182,87391,65794,55254,57027,6148,84397,310,4768,139,23784,22966,30539,2477,7418,20308,30180,50488,980.0,69.0
27,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,ARUNACHAL PRADESH,49977,29151,20826,17720,8353,11842,787,776,1164,34920,72,416,3794,8635,96,494,10730,2452,13182,714.0,52.0
28,Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,ARUNACHAL PRADESH,111975,57604,54371,29313,18661,20682,1103,83361,61,778,43,5947,3104,16026,98,888,18420,6500,24920,944.0,43.0
29,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,ARUNACHAL PRADESH,35320,18699,16621,10723,7472,5261,411,5643,27,2577,7,21394,1504,6198,97,392,8569,2182,10751,889.0,52.0
30,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,ARUNACHAL PRADESH,83448,41758,41690,24807,20471,13474,521,8779,28,297,11,60338,3123,5373,139,750,14542,4672,19214,998.0,54.0
31,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,ARUNACHAL PRADESH,83947,46155,37792,29566,18926,31265,1970,8466,328,36087,71,5760,7133,14188,202,887,17889,6306,24195,819.0,58.0
32,Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,ARUNACHAL PRADESH,112274,58168,54106,36777,27969,15881,2218,29969,577,3311,49,60269,6115,14204,303,1300,22272,8503,30775,930.0,58.0
33,Assam,Barpeta,26.427872264631056,90.97912010178116,303,ASSAM,1693622,867004,826618,499038,398020,492966,1198036,1020,112,49,399,1040,50806,84804,2078,25286,447189,52192,499381,953.0,53.0
34,Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,ASSAM,738804,375818,362986,237114,196964,359145,371033,5924,384,236,871,1211,29937,49866,2523,12959,181923,38470,220393,966.0,59.0
35,Assam,Cachar,24.815570668693017,92.86849650455927,316,ASSAM,1736617,886284,850333,639946,534182,1038985,654816,37635,280,341,1673,2887,62135,140205,5316,37541,346227,88933,435160,959.0,68.0
36,Assam,Darrang,26.58463215962442,92.04141338028155,325,ASSAM,928500,475273,453227,268666,218373,327322,597392,1688,431,57,724,886,17676,45444,1166,12084,268517,20189,288706,954.0,52.0
37,Assam,Dhemaji,27.586533438485816,94.71336908517353,308,ASSAM,686133,351249,334884,237761,185267,655052,13475,8711,297,911,167,7520,16547,28195,1192,10410,211758,16504,228262,953.0,62.0
38,Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,ASSAM,1326335,676434,649901,491361,393170,1198401,64526,52968,2261,4673,1055,2451,76292,136685,8817,34479,299852,77163,377015,961.0,67.0
39,Assam,Goalpara,26.017277777777807,90.59869891598912,302,ASSAM,1008183,513292,494891,304302,259275,347878,579929,77862,771,194,477,1072,21455,78641,1364,13524,228610,39504,268114,964.0,56.0
40,Assam,Golaghat,26.377219709794485,93.82583397823468,313,ASSAM,1066888,543161,523727,396475,325289,917426,90312,50582,1131,3863,530,3044,40889,82345,3073,17636,292893,34190,327083,964.0,68.0
41,Assam,Hailakandi,24.457496089385486,92.59154664804475,318,ASSAM,659296,337890,321406,226836,180530,251194,397653,8480,84,490,247,1148,11035,44143,1211,10615,159215,16202,175417,951.0,62.0
42,Assam,Jorhat,26.76244824016563,94.30197722567289,312,ASSAM,1092256,556805,535451,432335,362594,1008219,54684,21051,1540,2378,719,3665,71639,122063,5651,26357,286330,80824,367154,962.0,73.0
43,Assam,Kamrup,26.170939452054807,91.58863273972592,321,ASSAM,1517542,778461,739081,550219,445100,877495,601784,33297,319,185,1330,3132,70272,122191,3109,23468,390596,43849,434445,949.0,66.0
44,Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,ASSAM,956313,490167,466146,314253,242961,766000,20290,157789,370,6260,397,5207,18763,53918,1923,11340,215691,37185,252876,951.0,58.0
45,Assam,Karimganj,24.69660712250711,92.3679498575498,317,ASSAM,1228686,625864,602822,435942,359355,521962,692489,11990,114,446,524,1161,28261,70951,1933,24699,261945,32695,294640,963.0,65.0
46,Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,ASSAM,887142,452905,434237,275220,214085,529068,252271,101091,93,1718,396,2505,15089,41373,1218,14063,204896,17115,222011,959.0,55.0
47,Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,ASSAM,1042137,529674,512463,375552,307934,797130,193476,46217,412,1074,250,3578,32104,60296,1948,15011,293239,34694,327933,968.0,66.0
48,Assam,Nagaon,26.26462170626351,92.9306191144708,305,ASSAM,2823768,1439112,1384656,921850,788866,1225246,1563203,26844,3036,1073,1162,3204,89206,195631,5121,45956,674999,124186,799185,962.0,61.0
49,Assam,Nalbari,26.46323767605632,91.40598521126763,323,ASSAM,771639,396006,375633,293184,238587,491582,277488,429,62,27,1004,1047,37849,68313,1631,12360,210706,28238,238944,949.0,69.0
50,Assam,Sonitpur,26.73514926829268,92.85197804878044,306,ASSAM,1924110,983904,940206,620525,488047,1422824,350536,138166,1363,5088,1003,5130,70047,133368,4358,31254,483325,64528,547853,956.0,58.0
51,Assam,Tinsukia,27.53549291139241,95.69055949367085,309,ASSAM,1327929,680231,647698,453449,344873,1181347,48373,76877,1999,16228,837,2268,70471,161718,5135,27948,290704,90910,381614,952.0,60.0
52,Bihar,Araria,26.211528119180603,87.30766554934816,209,BIHAR,2811569,1463333,1348236,727643,468125,1593525,1207442,4116,371,187,1910,4018,17004,43290,2561,29796,659061,44213,703274,921.0,43.0
53,Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,BIHAR,2540073,1318684,1221389,868733,597269,2291133,237353,2218,295,334,775,7965,24106,44456,2362,31168,428291,49006,477297,926.0,58.0
